task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	d1/9869c3	3157223	NFCORE_SAREK:SAREK:CRAM_SAMPLEQC:CRAM_QC_RECAL:MOSDEPTH (test_sample.chr22)	COMPLETED	0	2026-08-05 12:20:05.057	632ms	0ms	69.8%	3.2 MB	4.3 MB	167.4 KB	498 B
5	c4/7a79dd	3157857	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_COMBINED (wgs_calling_regions_noseconds.hg38)	COMPLETED	0	2026-08-05 12:20:05.712	725ms	49ms	62.2%	3.4 MB	4.6 MB	118.9 KB	3.2 KB
1	13/5476f3	3158740	NFCORE_SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (wgs_calling_regions_noseconds.hg38.bed)	COMPLETED	0	2026-08-05 12:20:06.442	1.6s	0ms	129.9%	3.1 MB	4.3 MB	122 KB	1.1 KB
8	99/113c46	3157862	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_SINGLE_TIDDIT:TIDDIT_SV (test_sample.chr22)	COMPLETED	0	2026-08-05 12:20:05.697	3s	3s	63.4%	56.4 MB	9.8 GB	9.2 MB	81.5 KB
7	e1/1020f1	3159361	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_INDEXCOV:SAMTOOLS_REINDEX_BAM (test_sample.chr22)	COMPLETED	0	2026-08-05 12:20:08.124	888ms	0ms	47.1%	9.2 MB	17.7 MB	14.1 MB	30.6 MB
3	5c/d850e5	3159898	NFCORE_SAREK:SAREK:CRAM_SAMPLEQC:CRAM_QC_RECAL:SAMTOOLS_STATS (test_sample.chr22)	COMPLETED	0	2026-08-05 12:20:08.749	834ms	0ms	54.2%	3.3 MB	4.3 MB	145.6 KB	4.8 KB
11	7f/516c64	3160530	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (wgs_calling_regions_noseconds.hg38.stub)	COMPLETED	0	2026-08-05 12:20:09.599	1.5s	42ms	70.3%	3.5 MB	4.6 MB	118.9 KB	3.1 KB
14	dc/97548f	3161245	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_SINGLE_TIDDIT:TABIX_BGZIP_TIDDIT_SV (test_sample.chr22)	COMPLETED	0	2026-08-05 12:20:11.079	558ms	35ms	78.3%	3.4 MB	4.6 MB	119 KB	3.2 KB
9	a1/3a2616	3160049	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_CNVKIT:CNVKIT_BATCH (test_sample.chr22)	FAILED	139	2026-08-05 12:20:09.017	2.9s	2.8s	-	-	-	-	-
15	3d/ef5eeb	3161488	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_INDEXCOV:GOLEFT_INDEXCOV (indexcov)	COMPLETED	0	2026-08-05 12:20:11.657	628ms	1s	59.4%	3.1 MB	5.4 MB	110.3 KB	3.5 KB
16	67/cbef1e	3161647	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_SINGLE_STRELKA:STRELKA_SINGLE (test_sample.chr22)	COMPLETED	0	2026-08-05 12:20:11.931	792ms	0ms	56.8%	3.3 MB	5.4 MB	1.8 MB	537 B
19	dd/405476	3161854	NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:VCFTOOLS_TSTV_COUNT (test_sample.chr22)	COMPLETED	0	2026-08-05 12:20:12.292	1.5s	0ms	68.0%	2.7 MB	11 MB	270.7 KB	447 B
17	55/f53b95	3162196	NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:VCFTOOLS_SUMMARY (test_sample.chr22)	COMPLETED	0	2026-08-05 12:20:12.750	1.4s	1s	62.8%	2.8 MB	11 MB	270.5 KB	441 B
18	42/13eed7	3162566	NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:VCFTOOLS_TSTV_QUAL (test_sample.chr22)	COMPLETED	0	2026-08-05 12:20:13.777	1.5s	0ms	50.5%	2.7 MB	11 MB	270.6 KB	445 B
21	aa/76460f	3162899	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_GERMLINE_ALL:BAM_VARIANT_CALLING_CNVKIT:CNVKIT_BATCH (test_sample.chr22)	FAILED	139	2026-08-05 12:20:14.172	3.1s	3s	-	-	-	-	-
22	05/c40667	3163330	NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:VCFTOOLS_SUMMARY (test_sample.chr22)	ABORTED	-	2026-08-05 12:20:15.259	-	-	-	-	-	-	-
23	cb/f5a758	3164354	NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:VCFTOOLS_TSTV_COUNT (test_sample.chr22)	ABORTED	-	2026-08-05 12:20:17.293	-	-	-	-	-	-	-
